learning_rate,n_estimators,min_splits,error
0.3,500.0,2.0,0.150132275132
0.3,500.0,3.0,0.14417989418
0.3,500.0,4.0,0.142195767196
0.3,500.0,5.0,0.14880952381
0.3,1000.0,2.0,0.14880952381
0.3,1000.0,3.0,0.143518518519
0.3,1000.0,4.0,0.144841269841
0.3,1000.0,5.0,0.146825396825
0.3,2000.0,2.0,0.146825396825
0.3,2000.0,3.0,0.140211640212
0.3,2000.0,4.0,0.145502645503
0.3,2000.0,5.0,0.146825396825
0.4,500.0,2.0,0.148148148148
0.4,500.0,3.0,0.150793650794
0.4,500.0,4.0,0.14880952381
0.4,500.0,5.0,0.142195767196
0.4,1000.0,2.0,0.146825396825
0.4,1000.0,3.0,0.146164021164
0.4,1000.0,4.0,0.142857142857
0.4,1000.0,5.0,0.146825396825
0.4,2000.0,2.0,0.143518518519
0.4,2000.0,3.0,0.140873015873
0.4,2000.0,4.0,0.146825396825
0.4,2000.0,5.0,0.144841269841
0.5,500.0,2.0,0.143518518519
0.5,500.0,3.0,0.150132275132
0.5,500.0,4.0,0.159391534392
0.5,500.0,5.0,0.149470899471
0.5,1000.0,2.0,0.141534391534
0.5,1000.0,3.0,0.153439153439
0.5,1000.0,4.0,0.153439153439
0.5,1000.0,5.0,0.151455026455
0.5,2000.0,2.0,0.142857142857
0.5,2000.0,3.0,0.15873015873
0.5,2000.0,4.0,0.154100529101
0.5,2000.0,5.0,0.153439153439
0.6,500.0,2.0,0.172619047619
0.6,500.0,3.0,0.168650793651
0.6,500.0,4.0,0.16335978836
0.6,500.0,5.0,0.158068783069
0.6,1000.0,2.0,0.172619047619
0.6,1000.0,3.0,0.187169312169
0.6,1000.0,4.0,0.160714285714
0.6,1000.0,5.0,0.162037037037
0.6,2000.0,2.0,0.170634920635
0.6,2000.0,3.0,0.187169312169
0.6,2000.0,4.0,0.15873015873
0.6,2000.0,5.0,0.166666666667
0.7,500.0,2.0,0.152116402116
0.7,500.0,3.0,0.154100529101
0.7,500.0,4.0,0.148148148148
0.7,500.0,5.0,0.155423280423
0.7,1000.0,2.0,0.156746031746
0.7,1000.0,3.0,0.153439153439
0.7,1000.0,4.0,0.151455026455
0.7,1000.0,5.0,0.150132275132
0.7,2000.0,2.0,0.164021164021
0.7,2000.0,3.0,0.151455026455
0.7,2000.0,4.0,0.151455026455
0.7,2000.0,5.0,0.148148148148
